排名,影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
19.,恶棍天使,喜剧,59736,30,46,中国,2015-12-24
20.,火星救援,科幻,58690,37,24,美国,2015-11-25
21.,杀破狼2,动作,56040,36,25,中国/中国香港,2015-06-18
22.,战狼,动作,54447,34,25,中国,2015-04-02
23.,007：幽灵党,动作,54209,32,28,美国/英国,2015-11-13
24.,哆啦A梦：伴我同行,动画,53032,35,22,日本,2015-05-28
25.,超能陆战队,动画,52643,37,26,美国,2015-02-28
1.,美人鱼,喜剧,339212,37,44,中国/中国香港,2016-02-08
2.,疯狂动物城,动画,153033,34,29,美国,2016-03-04
3.,魔兽,动作,147215,37,25,美国,2016-06-08
4.,美国队长3：英雄内战,动作,124627,35,25,美国,2016-05-06
5.,西游记之孙悟空三打白骨精,奇幻,120102,37,36,中国,2016-02-08
6.,湄公河行动,动作,118418,30,24,中国香港/中国,2016-09-30
7.,澳门风云3,喜剧,111819,36,36,中国/中国香港,2016-02-08
8.,盗墓笔记,奇幻,100441,35,27,中国,2016-08-05
9.,功夫熊猫3,动画,100200,36,25,中国/美国,2016-01-29
10.,长城,奇幻,97938,35,24,美国/中国,2016-12-16
11.,奇幻森林,奇幻,97935,34,24,美国,2016-04-15
12.,绝地逃亡,动作,88940,35,25,美国/中国香港/中国,2016-07-21
13.,星球大战：原力觉醒,科幻,82557,37,24,美国,2016-01-09
14.,从你的全世界路过,爱情,81420,31,22,中国,2016-09-29
15.,X战警：天启,动作,80284,34,23,美国,2016-06-03
16.,北京遇上西雅图之不二情书,爱情,78678,34,24,中国/中国香港,2016-04-29
17.,叶问3,动作,77029,39,23,中国/中国香港,2016-03-04
18.,奇异博士,奇幻,75167,35,18,美国,2016-11-04
19.,唐人街探案,喜剧,68262,32,31,中国,2015-12-31
20.,寒战2,动作,67820,37,27,中国香港/中国,2016-07-08
21.,惊天魔盗团2,动作,63891,33,27,美国,2016-06-24
22.,蝙蝠侠大战超人：正义黎明,动作,61908,36,23,美国,2016-03-25
23.,使徒行者,动作,60626,29,24,中国香港/中国,2016-08-11
24.,神奇动物在哪里,奇幻,58921,35,21,美国/英国,2016-11-25
25.,你的名字。,动画,56593,28,22,日本,2016-12-02
1.,功夫瑜伽,喜剧,175030,38,34,印度/中国,2017-01-28
2.,西游伏妖篇,奇幻,165609,39,36,中国香港/中国,2017-01-28
3.,极限特工：终极回归,动作,111902,36,23,美国,2017-02-10
4.,乘风破浪,剧情,104620,36,28,中国,2017-01-28
5.,生化危机：终章,科幻,100094,35,25,美国/德国,2017-02-24
6.,大闹天竺,喜剧,75816,36,31,中国,2017-01-28
7.,情圣,喜剧,54984,32,16,中国,2016-12-30
8.,熊出没·奇幻空间,动画,51791,34,27,中国,2017-01-28
9.,星球大战外传：侠盗一号,科幻,47834,37,13,美国,2017-01-06
10.,金刚狼3：殊死一战,动作,44634,33,24,美国,2017-03-03
11.,太空旅客,科幻,31454,35,12,美国,2017-01-13
12.,铁道飞虎,喜剧,26967,37,13,中国,2016-12-23
13.,爱乐之城,爱情,24059,34,16,美国,2017-02-14
14.,一条狗的使命,喜剧,19681,30,22,美国,2017-03-03
15.,欢乐好声音,动画,19645,34,13,美国,2017-02-17
16.,长城,奇幻,19514,36,13,美国/中国,2016-12-16
17.,刺客信条,动作,15978,36,11,中国香港/法国/英国/美国,2017-02-24
18.,大卫贝肯之倒霉特工熊,动画,12638,33,10,中国,2017-01-13
19.,决战食神,喜剧,12194,33,14,中国香港/中国,2017-02-10
20.,降临,科幻,10915,32,9,美国,2017-01-20
21.,东北往事之破马张飞,喜剧,10615,31,19,中国,2017-02-03
22.,游戏规则,动作,9835,33,26,中国,2017-02-10
23.,摆渡人,喜剧,7652,33,11,中国香港/中国,2016-12-23
24.,血战钢锯岭,战争,7496,33,17,澳大利亚/美国,2016-12-08
25.,疯岳撬佳人,爱情,6382,31,11,中国,2017-02-14
